1972,936.8774
1973,995.8626
1974,1002.9337
1975,1032.59
1976,1025.9134
1977,1050.6831
1978,1022.2356
1979,1039.4057
1980,1030.9357
1981,1040.002
1982,999.2288
1983,1036.3957
1984,1179.6362
1985,1191.349
1986,1178.8441
1987,1239.2627
1988,1367.8893
1989,1343.1602
1990,1352.4585
1991,1398.7004
1992,1488.2636
1993,1545.1191000000001
1994,1525.5524
1995,1646.1843999999999
1996,1640.1462
1997,1490.4256
1998,1409.6369
1999,1252.5725
2000,1441.2964
2001,1484.5045
2002,1787.1206
2003,1603.9066
2004,1665.2609
2005,1872.3557
2006,1769.8362
2007,1724.0761
2008,1531.5478
2009,1419.3431
2010,1362.143
2011,1238.6501
2012,1199.9999
2013,1187.0347
2014,1251.4439
2015,1203.9726
2016,1313.2293
2017,1259.7811
2018,1222.1476
2019,1214.4202
